MONTH,DAY_OF_WEEK,FL_DATE,MKT_UNIQUE_CARRIER,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,DUP,CRS_ELAPSED_TIME,DISTANCE,WEATHER_DELAY,NAS_DELAY,LATE_AIRCRAFT_DELAY,DIV_AIRPORT_LANDINGS
1,1,1/2/23 0:00,AA,MQ,3392,ORD,SYR,1733,2019,2012,-7,0,0,N,106,607,,,,0
1,1,1/2/23 0:00,AA,MQ,3518,ORD,SYR,1305,1602,1556,-6,0,0,N,117,607,,,,0
1,1,1/2/23 0:00,B6,B6,116,JFK,SYR,1335,1448,1652,124,0,0,N,73,209,0,2,10,0
1,1,1/2/23 0:00,B6,B6,2516,JFK,SYR,2230,2341,223,162,0,0,N,71,209,0,2,46,0
1,1,1/2/23 0:00,B6,B6,656,MCO,SYR,1545,1828,1936,68,0,0,N,163,1053,0,10,47,0
1,1,1/2/23 0:00,DL,9E,5190,JFK,SYR,2110,2241,2246,5,0,0,N,91,209,,,,0
1,1,1/2/23 0:00,UA,UA,1998,ORD,SYR,1814,2107,2046,-21,0,0,N,113,607,,,,0
1,1,1/2/23 0:00,UA,ZW,3819,ORD,SYR,1330,1627,1642,15,0,0,N,117,607,0,0,9,0
1,1,1/9/23 0:00,AA,MQ,3392,ORD,SYR,1733,2019,2040,21,0,0,N,106,607,0,0,0,0
1,1,1/9/23 0:00,AA,MQ,3518,ORD,SYR,1305,1602,1605,3,0,0,N,117,607,,,,0
1,1,1/9/23 0:00,B6,B6,116,JFK,SYR,1316,1429,1433,4,0,0,N,73,209,,,,0
1,1,1/9/23 0:00,B6,B6,2516,JFK,SYR,2155,2307,2256,-11,0,0,N,72,209,,,,0
1,1,1/9/23 0:00,B6,B6,656,MCO,SYR,1618,1859,1850,-9,0,0,N,161,1053,,,,0
1,1,1/9/23 0:00,DL,9E,5009,JFK,SYR,2230,2354,2336,-18,0,0,N,84,209,,,,0
1,1,1/9/23 0:00,DL,9E,5224,JFK,SYR,1630,1755,1822,27,0,0,N,85,209,0,0,1,0
1,1,1/9/23 0:00,DL,9E,5350,JFK,SYR,950,1115,1048,-27,0,0,N,85,209,,,,0
1,1,1/9/23 0:00,UA,UA,1998,ORD,SYR,1824,2117,2101,-16,0,0,N,113,607,,,,0
1,1,1/9/23 0:00,UA,YX,3568,ORD,SYR,1348,1639,1631,-8,0,0,N,111,607,,,,0
1,1,1/16/23 0:00,AA,YX,4771,ORD,SYR,1645,1938,1937,-1,0,0,N,113,607,,,,0
1,1,1/16/23 0:00,B6,B6,116,JFK,SYR,1316,1429,1503,34,0,0,N,73,209,0,4,0,0
1,1,1/16/23 0:00,B6,B6,2516,JFK,SYR,2155,2307,2328,21,0,0,N,72,209,0,21,0,0
1,1,1/16/23 0:00,B6,B6,656,MCO,SYR,1618,1859,1912,13,0,0,N,161,1053,,,,0
1,1,1/16/23 0:00,DL,9E,5009,JFK,SYR,2230,2354,2350,-4,0,0,N,84,209,,,,0
1,1,1/16/23 0:00,DL,9E,5224,JFK,SYR,1635,1801,1825,24,0,0,N,86,209,0,9,6,0
1,1,1/16/23 0:00,DL,9E,5350,JFK,SYR,950,1115,1106,-9,0,0,N,85,209,,,,0
1,1,1/16/23 0:00,UA,UA,1998,ORD,SYR,1824,2117,2134,17,0,0,N,113,607,0,17,0,0
1,1,1/16/23 0:00,UA,YX,3568,ORD,SYR,1348,1639,1623,-16,0,0,N,111,607,,,,0
1,1,1/23/23 0:00,AA,YX,4771,ORD,SYR,1645,1938,1937,-1,0,0,N,113,607,,,,0
1,1,1/23/23 0:00,B6,B6,116,JFK,SYR,1316,1429,1416,-13,0,0,N,73,209,,,,0
1,1,1/23/23 0:00,B6,B6,2516,JFK,SYR,2155,2307,2311,4,0,0,N,72,209,,,,0
1,1,1/23/23 0:00,B6,B6,656,MCO,SYR,1618,1859,2026,87,0,0,N,161,1053,0,13,61,0
1,1,1/23/23 0:00,DL,9E,5009,JFK,SYR,2230,2354,24,30,0,0,N,84,209,0,0,4,0
1,1,1/23/23 0:00,DL,9E,5224,JFK,SYR,1635,1801,1814,13,0,0,N,86,209,,,,0
1,1,1/23/23 0:00,DL,9E,5350,JFK,SYR,950,1115,1126,11,0,0,N,85,209,,,,0
1,1,1/23/23 0:00,UA,UA,1998,ORD,SYR,1824,2117,2114,-3,0,0,N,113,607,,,,0
1,1,1/23/23 0:00,UA,YX,3568,ORD,SYR,1348,1639,1650,11,0,0,N,111,607,,,,0
1,1,1/30/23 0:00,AA,YX,4771,ORD,SYR,1645,1938,1923,-15,0,0,N,113,607,,,,0
1,1,1/30/23 0:00,B6,B6,116,JFK,SYR,1316,1429,1412,-17,0,0,N,73,209,,,,0
1,1,1/30/23 0:00,B6,B6,2516,JFK,SYR,2155,2307,2358,51,0,0,N,72,209,0,0,0,0
1,1,1/30/23 0:00,B6,B6,656,MCO,SYR,1618,1859,1850,-9,0,0,N,161,1053,,,,0
1,1,1/30/23 0:00,DL,9E,5009,JFK,SYR,2230,2354,2344,-10,0,0,N,84,209,,,,0
1,1,1/30/23 0:00,DL,9E,5224,JFK,SYR,1635,1801,1857,56,0,0,N,86,209,0,0,21,0
1,1,1/30/23 0:00,DL,9E,5350,JFK,SYR,950,1115,1101,-14,0,0,N,85,209,,,,0
1,1,1/30/23 0:00,UA,UA,1998,ORD,SYR,1824,2117,2121,4,0,0,N,113,607,,,,0
1,1,1/30/23 0:00,UA,YX,3568,ORD,SYR,1348,1639,1659,20,0,0,N,111,607,0,0,0,0
1,2,1/3/23 0:00,AA,MQ,3392,ORD,SYR,1733,2019,2057,38,0,0,N,106,607,0,7,12,0
1,2,1/3/23 0:00,AA,MQ,3518,ORD,SYR,1305,1602,1549,-13,0,0,N,117,607,,,,0
1,2,1/3/23 0:00,B6,B6,116,JFK,SYR,1320,1433,2043,370,0,0,N,73,209,0,0,339,0
1,2,1/3/23 0:00,B6,B6,2516,JFK,SYR,2155,2307,2255,-12,0,0,N,72,209,,,,0
1,2,1/3/23 0:00,B6,B6,656,MCO,SYR,1620,1904,2149,165,0,0,N,164,1053,0,0,0,0
1,2,1/3/23 0:00,DL,9E,5190,JFK,SYR,2110,2241,2223,-18,0,0,N,91,209,,,,0
1,2,1/3/23 0:00,UA,UA,1998,ORD,SYR,1814,2107,2104,-3,0,0,N,113,607,,,,0
1,2,1/3/23 0:00,UA,ZW,3819,ORD,SYR,1330,1627,1613,-14,0,0,N,117,607,,,,0
1,2,1/10/23 0:00,AA,YX,4771,ORD,SYR,1645,1938,1925,-13,0,0,N,113,607,,,,0
1,2,1/10/23 0:00,B6,B6,116,JFK,SYR,1316,1429,1424,-5,0,0,N,73,209,,,,0
1,2,1/10/23 0:00,B6,B6,2516,JFK,SYR,2155,2307,2300,-7,0,0,N,72,209,,,,0
1,2,1/10/23 0:00,B6,B6,656,MCO,SYR,1618,1859,1846,-13,0,0,N,161,1053,,,,0
1,2,1/10/23 0:00,DL,9E,5009,JFK,SYR,2230,2354,2357,3,0,0,N,84,209,,,,0
1,2,1/10/23 0:00,DL,9E,5224,JFK,SYR,1635,1801,1750,-11,0,0,N,86,209,,,,0
1,2,1/10/23 0:00,DL,9E,5350,JFK,SYR,950,1115,1107,-8,0,0,N,85,209,,,,0
1,2,1/10/23 0:00,UA,UA,1036,ORD,SYR,1845,2138,2124,-14,0,0,N,113,607,,,,0
1,2,1/10/23 0:00,UA,UA,1998,ORD,SYR,1824,2117,2105,-12,0,0,N,113,607,,,,0
1,2,1/10/23 0:00,UA,YX,3568,ORD,SYR,1348,1639,1633,-6,0,0,N,111,607,,,,0
1,2,1/17/23 0:00,AA,YX,4771,ORD,SYR,1645,1938,1922,-16,0,0,N,113,607,,,,0
1,2,1/17/23 0:00,B6,B6,116,JFK,SYR,1316,1429,1414,-15,0,0,N,73,209,,,,0
1,2,1/17/23 0:00,B6,B6,2516,JFK,SYR,2155,2307,2253,-14,0,0,N,72,209,,,,0
1,2,1/17/23 0:00,DL,9E,5009,JFK,SYR,2230,2354,2336,-18,0,0,N,84,209,,,,0
1,2,1/17/23 0:00,DL,9E,5224,JFK,SYR,1635,1801,1950,109,0,0,N,86,209,0,0,20,0
1,2,1/17/23 0:00,DL,9E,5350,JFK,SYR,950,1115,1157,42,0,0,N,85,209,0,21,9,0
1,2,1/17/23 0:00,UA,UA,1998,ORD,SYR,1824,2117,2122,5,0,0,N,113,607,,,,0
1,2,1/17/23 0:00,UA,YX,3568,ORD,SYR,1348,1639,1625,-14,0,0,N,111,607,,,,0
1,2,1/24/23 0:00,AA,YX,4771,ORD,SYR,1645,1938,1922,-16,0,0,N,113,607,,,,0
1,2,1/24/23 0:00,B6,B6,116,JFK,SYR,1316,1429,1421,-8,0,0,N,73,209,,,,0
1,2,1/24/23 0:00,B6,B6,2516,JFK,SYR,2155,2307,2321,14,0,0,N,72,209,,,,0
1,2,1/24/23 0:00,DL,9E,5009,JFK,SYR,2230,2354,12,18,0,0,N,84,209,0,18,0,0
1,2,1/24/23 0:00,DL,9E,5224,JFK,SYR,1635,1801,1800,-1,0,0,N,86,209,,,,0
1,2,1/24/23 0:00,DL,9E,5350,JFK,SYR,950,1115,1101,-14,0,0,N,85,209,,,,0
1,2,1/24/23 0:00,UA,UA,1998,ORD,SYR,1824,2117,2104,-13,0,0,N,113,607,,,,0
1,2,1/24/23 0:00,UA,YX,3568,ORD,SYR,1348,1639,1621,-18,0,0,N,111,607,,,,0
1,2,1/31/23 0:00,AA,YX,4771,ORD,SYR,1645,1938,2338,240,0,0,N,113,607,0,0,178,0
1,2,1/31/23 0:00,B6,B6,116,JFK,SYR,1316,1429,1501,32,0,0,N,73,209,0,13,0,0
1,2,1/31/23 0:00,B6,B6,2516,JFK,SYR,2155,2307,2311,4,0,0,N,72,209,,,,0
1,2,1/31/23 0:00,DL,9E,5009,JFK,SYR,2230,2354,5,11,0,0,N,84,209,,,,0
1,2,1/31/23 0:00,DL,9E,5224,JFK,SYR,1635,1801,1808,7,0,0,N,86,209,,,,0
1,2,1/31/23 0:00,DL,9E,5350,JFK,SYR,950,1115,1151,36,0,0,N,85,209,0,36,0,0
1,2,1/31/23 0:00,UA,UA,1998,ORD,SYR,1824,2117,2052,-25,0,0,N,113,607,,,,0
1,2,1/31/23 0:00,UA,YX,3568,ORD,SYR,1348,1639,1613,-26,0,0,N,111,607,,,,0
1,3,1/4/23 0:00,AA,MQ,3392,ORD,SYR,1733,2019,2029,10,0,0,N,106,607,,,,0
1,3,1/4/23 0:00,AA,MQ,3518,ORD,SYR,1305,1602,1606,4,0,0,N,117,607,,,,0
1,3,1/4/23 0:00,B6,B6,116,JFK,SYR,1320,1433,1517,44,0,0,N,73,209,0,0,11,0
1,3,1/4/23 0:00,B6,B6,2516,JFK,SYR,2155,2307,2306,-1,0,0,N,72,209,,,,0
1,3,1/4/23 0:00,B6,B6,656,MCO,SYR,1620,1901,1920,19,0,0,N,161,1053,0,0,12,0
1,3,1/4/23 0:00,DL,9E,5190,JFK,SYR,2110,2241,2229,-12,0,0,N,91,209,,,,0
1,3,1/4/23 0:00,UA,UA,1998,ORD,SYR,1824,2117,2131,14,0,0,N,113,607,,,,0
1,3,1/4/23 0:00,UA,YX,3568,ORD,SYR,1348,1639,1620,-19,0,0,N,111,607,,,,0
1,3,1/11/23 0:00,AA,YX,4771,ORD,SYR,1645,1938,2011,33,0,0,N,113,607,0,0,33,0
1,3,1/11/23 0:00,B6,B6,116,JFK,SYR,1316,1429,1430,1,0,0,N,73,209,,,,0
1,3,1/11/23 0:00,B6,B6,2516,JFK,SYR,2155,2307,2259,-8,0,0,N,72,209,,,,0
1,3,1/11/23 0:00,B6,B6,656,MCO,SYR,1618,1859,1842,-17,0,0,N,161,1053,,,,0
1,3,1/11/23 0:00,DL,9E,5009,JFK,SYR,2230,2354,39,45,0,0,N,84,209,0,0,37,0
1,3,1/11/23 0:00,DL,9E,5224,JFK,SYR,1635,1801,2007,126,0,0,N,86,209,0,0,110,0
1,3,1/11/23 0:00,DL,9E,5350,JFK,SYR,950,1115,1234,79,0,0,N,85,209,0,0,79,0
1,3,1/11/23 0:00,UA,UA,1998,ORD,SYR,1824,2117,2105,-12,0,0,N,113,607,,,,0
1,3,1/11/23 0:00,UA,YX,3568,ORD,SYR,1348,1639,1632,-7,0,0,N,111,607,,,,0
1,3,1/18/23 0:00,AA,YX,4771,ORD,SYR,1645,1938,1923,-15,0,0,N,113,607,,,,0
1,3,1/18/23 0:00,B6,B6,116,JFK,SYR,1316,1429,1416,-13,0,0,N,73,209,,,,0
1,3,1/18/23 0:00,B6,B6,2516,JFK,SYR,2155,2307,2256,-11,0,0,N,72,209,,,,0
1,3,1/18/23 0:00,DL,9E,5009,JFK,SYR,2230,2354,31,37,0,0,N,84,209,0,0,37,0
1,3,1/18/23 0:00,DL,9E,5224,JFK,SYR,1635,1801,1827,26,0,0,N,86,209,0,0,11,0
1,3,1/18/23 0:00,DL,9E,5350,JFK,SYR,950,1115,1059,-16,0,0,N,85,209,,,,0
1,3,1/18/23 0:00,UA,UA,1998,ORD,SYR,1824,2117,2109,-8,0,0,N,113,607,,,,0
1,3,1/18/23 0:00,UA,YX,3568,ORD,SYR,1348,1639,1632,-7,0,0,N,111,607,,,,0
1,3,1/25/23 0:00,AA,YX,4771,ORD,SYR,1645,1938,1929,-9,0,0,N,113,607,,,,0
1,3,1/25/23 0:00,B6,B6,116,JFK,SYR,1316,1429,1420,-9,0,0,N,73,209,,,,0
1,3,1/25/23 0:00,B6,B6,2516,JFK,SYR,2155,2307,124,137,0,0,N,72,209,0,0,137,0
1,3,1/25/23 0:00,DL,9E,5009,JFK,SYR,2230,2354,,,1,0,N,84,209,,,,0
1,3,1/25/23 0:00,DL,9E,5224,JFK,SYR,1635,1801,1800,-1,0,0,N,86,209,,,,0
1,3,1/25/23 0:00,DL,9E,5350,JFK,SYR,950,1115,1044,-31,0,0,N,85,209,,,,0
1,3,1/25/23 0:00,UA,UA,1998,ORD,SYR,1824,2117,2129,12,0,0,N,113,607,,,,0
1,3,1/25/23 0:00,UA,YX,3568,ORD,SYR,1348,1639,1714,35,0,0,N,111,607,0,35,0,0
1,4,1/5/23 0:00,AA,MQ,3518,ORD,SYR,1305,1602,1624,22,0,0,N,117,607,0,22,0,0
1,4,1/5/23 0:00,B6,B6,116,JFK,SYR,1320,1433,1414,-19,0,0,N,73,209,,,,0
1,4,1/5/23 0:00,B6,B6,2516,JFK,SYR,2155,2307,107,120,0,0,N,72,209,0,0,0,0
1,4,1/5/23 0:00,B6,B6,656,MCO,SYR,1618,1859,1906,7,0,0,N,161,1053,,,,0
1,4,1/5/23 0:00,DL,9E,5190,JFK,SYR,2110,2241,2221,-20,0,0,N,91,209,,,,0
1,4,1/5/23 0:00,UA,UA,1998,ORD,SYR,1824,2117,2117,0,0,0,N,113,607,,,,0
1,4,1/5/23 0:00,UA,YX,3568,ORD,SYR,1348,1639,1651,12,0,0,N,111,607,,,,0
1,4,1/12/23 0:00,AA,MQ,3518,ORD,SYR,1353,1635,1624,-11,0,0,N,102,607,,,,0
1,4,1/12/23 0:00,AA,YX,4769,ORD,SYR,1931,2225,2220,-5,0,0,N,114,607,,,,0
1,4,1/12/23 0:00,B6,B6,116,JFK,SYR,1316,1429,1419,-10,0,0,N,73,209,,,,0
1,4,1/12/23 0:00,B6,B6,2516,JFK,SYR,2155,2307,31,84,0,0,N,72,209,0,29,51,0
1,4,1/12/23 0:00,B6,B6,656,MCO,SYR,1618,1859,2007,68,0,0,N,161,1053,0,6,50,0
1,4,1/12/23 0:00,DL,9E,5009,JFK,SYR,2230,2354,104,70,0,0,N,84,209,0,23,47,0
1,4,1/12/23 0:00,DL,9E,5224,JFK,SYR,1635,1801,1803,2,0,0,N,86,209,,,,0
1,4,1/12/23 0:00,DL,9E,5350,JFK,SYR,950,1115,1054,-21,0,0,N,85,209,,,,0
1,4,1/12/23 0:00,UA,UA,1998,ORD,SYR,1824,2117,2110,-7,0,0,N,113,607,,,,0
1,4,1/12/23 0:00,UA,YX,3568,ORD,SYR,1348,1639,1627,-12,0,0,N,111,607,,,,0
1,4,1/19/23 0:00,AA,MQ,3518,ORD,SYR,1353,1635,1711,36,0,0,N,102,607,0,36,0,0
1,4,1/19/23 0:00,AA,YX,4769,ORD,SYR,1931,2225,2211,-14,0,0,N,114,607,,,,0
1,4,1/19/23 0:00,B6,B6,116,JFK,SYR,1316,1429,1430,1,0,0,N,73,209,,,,0
1,4,1/19/23 0:00,B6,B6,2516,JFK,SYR,2155,2307,21,74,0,0,N,72,209,0,57,0,0
1,4,1/19/23 0:00,B6,B6,656,MCO,SYR,1618,1859,1841,-18,0,0,N,161,1053,,,,0
1,4,1/19/23 0:00,DL,9E,5009,JFK,SYR,2230,2354,100,66,0,0,N,84,209,0,40,19,0
1,4,1/19/23 0:00,DL,9E,5224,JFK,SYR,1635,1801,1935,94,0,0,N,86,209,0,9,44,0
1,4,1/19/23 0:00,DL,9E,5350,JFK,SYR,950,1115,1100,-15,0,0,N,85,209,,,,0
1,4,1/19/23 0:00,UA,UA,1998,ORD,SYR,1824,2117,2115,-2,0,0,N,113,607,,,,0
1,4,1/19/23 0:00,UA,YX,3568,ORD,SYR,1348,1639,1637,-2,0,0,N,111,607,,,,0
1,4,1/26/23 0:00,AA,MQ,3518,ORD,SYR,1353,1635,1659,24,0,0,N,102,607,7,0,17,0
1,4,1/26/23 0:00,AA,YX,4769,ORD,SYR,1931,2225,2314,49,0,0,N,114,607,11,38,0,0
1,4,1/26/23 0:00,B6,B6,116,JFK,SYR,1316,1429,1437,8,0,0,N,73,209,,,,0
1,4,1/26/23 0:00,B6,B6,2516,JFK,SYR,2155,2307,2254,-13,0,0,N,72,209,,,,0
1,4,1/26/23 0:00,B6,B6,656,MCO,SYR,1618,1859,1937,38,0,0,N,161,1053,0,0,34,0
1,4,1/26/23 0:00,DL,9E,5009,JFK,SYR,2230,2354,33,39,0,0,N,84,209,0,20,6,0
1,4,1/26/23 0:00,DL,9E,5224,JFK,SYR,1635,1801,1743,-18,0,0,N,86,209,,,,0
1,4,1/26/23 0:00,DL,9E,5350,JFK,SYR,950,1115,1052,-23,0,0,N,85,209,,,,0
1,4,1/26/23 0:00,UA,UA,1998,ORD,SYR,1824,2117,2133,16,0,0,N,113,607,0,1,0,0
1,4,1/26/23 0:00,UA,YX,3568,ORD,SYR,1348,1639,1655,16,0,0,N,111,607,0,16,0,0
1,5,1/6/23 0:00,AA,MQ,3518,ORD,SYR,1305,1602,1702,60,0,0,N,117,607,0,48,8,0
1,5,1/6/23 0:00,B6,B6,116,JFK,SYR,1316,1429,1505,36,0,0,N,73,209,0,0,5,0
1,5,1/6/23 0:00,B6,B6,2516,JFK,SYR,2155,2307,2350,43,0,0,N,72,209,0,0,0,0
1,5,1/6/23 0:00,B6,B6,656,MCO,SYR,1618,1859,122,383,0,0,N,161,1053,0,10,0,0
1,5,1/6/23 0:00,DL,9E,5190,JFK,SYR,2110,2241,2221,-20,0,0,N,91,209,,,,0
1,5,1/6/23 0:00,UA,UA,1998,ORD,SYR,1824,2117,2123,6,0,0,N,113,607,,,,0
1,5,1/6/23 0:00,UA,YX,3568,ORD,SYR,1348,1639,1633,-6,0,0,N,111,607,,,,0
1,5,1/13/23 0:00,AA,MQ,3518,ORD,SYR,1353,1635,1713,38,0,0,N,102,607,0,38,0,0
1,5,1/13/23 0:00,AA,YX,4769,ORD,SYR,1931,2225,2349,84,0,0,N,114,607,70,12,2,0
1,5,1/13/23 0:00,B6,B6,116,JFK,SYR,1316,1429,1439,10,0,0,N,73,209,,,,0
1,5,1/13/23 0:00,B6,B6,2516,JFK,SYR,2155,2307,2313,6,0,0,N,72,209,,,,0
1,5,1/13/23 0:00,B6,B6,656,MCO,SYR,1618,1859,1855,-4,0,0,N,161,1053,,,,0
1,5,1/13/23 0:00,DL,9E,5009,JFK,SYR,2230,2354,29,35,0,0,N,84,209,0,0,35,0
1,5,1/13/23 0:00,DL,9E,5224,JFK,SYR,1635,1801,1827,26,0,0,N,86,209,0,0,20,0
1,5,1/13/23 0:00,DL,9E,5350,JFK,SYR,950,1115,1115,0,0,0,N,85,209,,,,0
1,5,1/13/23 0:00,UA,UA,1998,ORD,SYR,1824,2117,2119,2,0,0,N,113,607,,,,0
1,5,1/13/23 0:00,UA,YX,3568,ORD,SYR,1348,1639,1711,32,0,0,N,111,607,0,32,0,0
1,5,1/20/23 0:00,AA,MQ,3518,ORD,SYR,1353,1635,1717,42,0,0,N,102,607,0,42,0,0
1,5,1/20/23 0:00,AA,YX,4769,ORD,SYR,1931,2225,2237,12,0,0,N,114,607,,,,0
1,5,1/20/23 0:00,B6,B6,116,JFK,SYR,1316,1429,1423,-6,0,0,N,73,209,,,,0
1,5,1/20/23 0:00,B6,B6,2516,JFK,SYR,2155,2307,2307,0,0,0,N,72,209,,,,0
1,5,1/20/23 0:00,B6,B6,656,MCO,SYR,1618,1859,1857,-2,0,0,N,161,1053,,,,0
1,5,1/20/23 0:00,DL,9E,5009,JFK,SYR,2230,2354,2333,-21,0,0,N,84,209,,,,0
1,5,1/20/23 0:00,DL,9E,5224,JFK,SYR,1635,1801,2014,133,0,0,N,86,209,0,12,1,0
1,5,1/20/23 0:00,DL,9E,5350,JFK,SYR,950,1115,1052,-23,0,0,N,85,209,,,,0
1,5,1/20/23 0:00,UA,UA,1998,ORD,SYR,1824,2117,2108,-9,0,0,N,113,607,,,,0
1,5,1/20/23 0:00,UA,YX,3568,ORD,SYR,1348,1639,1718,39,0,0,N,111,607,29,10,0,0
1,5,1/27/23 0:00,AA,MQ,3518,ORD,SYR,1353,1635,1749,74,0,0,N,102,607,0,74,0,0
1,5,1/27/23 0:00,AA,YX,4769,ORD,SYR,1931,2225,2321,56,0,0,N,114,607,0,0,56,0
1,5,1/27/23 0:00,B6,B6,116,JFK,SYR,1316,1429,1416,-13,0,0,N,73,209,,,,0
1,5,1/27/23 0:00,B6,B6,2516,JFK,SYR,2155,2307,2311,4,0,0,N,72,209,,,,0
1,5,1/27/23 0:00,B6,B6,656,MCO,SYR,1618,1859,1850,-9,0,0,N,161,1053,,,,0
1,5,1/27/23 0:00,DL,9E,5009,JFK,SYR,2230,2354,2350,-4,0,0,N,84,209,,,,0
1,5,1/27/23 0:00,DL,9E,5224,JFK,SYR,1635,1801,1826,25,0,0,N,86,209,0,7,9,0
1,5,1/27/23 0:00,DL,9E,5350,JFK,SYR,950,1115,1057,-18,0,0,N,85,209,,,,0
1,5,1/27/23 0:00,UA,UA,1998,ORD,SYR,1824,2117,2116,-1,0,0,N,113,607,,,,0
1,5,1/27/23 0:00,UA,YX,3568,ORD,SYR,1348,1639,1827,108,0,0,N,111,607,0,68,27,0
1,6,1/7/23 0:00,AA,MQ,3518,ORD,SYR,1357,1642,1637,-5,0,0,N,105,607,,,,0
1,6,1/7/23 0:00,AA,YX,4337,ORD,SYR,1915,2205,2223,18,0,0,N,110,607,0,4,14,0
1,6,1/7/23 0:00,B6,B6,116,JFK,SYR,1316,1429,1420,-9,0,0,N,73,209,,,,0
1,6,1/7/23 0:00,B6,B6,2516,JFK,SYR,2155,2307,2312,5,0,0,N,72,209,,,,0
1,6,1/7/23 0:00,B6,B6,656,MCO,SYR,1745,2025,2038,13,0,0,N,160,1053,,,,0
1,6,1/7/23 0:00,DL,9E,5190,JFK,SYR,2110,2241,2219,-22,0,0,N,91,209,,,,0
1,6,1/7/23 0:00,UA,UA,1998,ORD,SYR,1824,2117,2156,39,0,0,N,113,607,0,0,39,0
1,6,1/7/23 0:00,UA,YX,3568,ORD,SYR,1348,1639,1638,-1,0,0,N,111,607,,,,0
1,6,1/7/23 0:00,WN,WN,2695,MCO,SYR,1105,1345,1346,1,0,0,N,160,1053,,,,0
1,6,1/14/23 0:00,AA,YX,4429,ORD,SYR,1504,1756,1751,-5,0,0,N,112,607,,,,0
1,6,1/14/23 0:00,B6,B6,116,JFK,SYR,1316,1429,1423,-6,0,0,N,73,209,,,,0
1,6,1/14/23 0:00,B6,B6,2516,JFK,SYR,2155,2307,16,69,0,0,N,72,209,0,7,19,0
1,6,1/14/23 0:00,B6,B6,656,MCO,SYR,1745,2025,2207,102,0,0,N,160,1053,0,23,19,0
1,6,1/14/23 0:00,DL,9E,5009,JFK,SYR,2230,2354,202,128,0,0,N,84,209,0,0,105,0
1,6,1/14/23 0:00,DL,9E,5224,JFK,SYR,1635,1801,1835,34,0,0,N,86,209,0,0,34,0
1,6,1/14/23 0:00,DL,9E,5350,JFK,SYR,950,1115,1131,16,0,0,N,85,209,0,16,0,0
1,6,1/14/23 0:00,UA,UA,1998,ORD,SYR,1824,2117,2225,68,0,0,N,113,607,0,0,68,0
1,6,1/14/23 0:00,UA,G7,4471,ORD,SYR,1348,1637,1711,34,0,0,N,109,607,0,12,0,0
1,6,1/14/23 0:00,WN,WN,2695,MCO,SYR,1105,1345,1402,17,0,0,N,160,1053,0,17,0,0
1,6,1/21/23 0:00,AA,YX,4429,ORD,SYR,1504,1756,1742,-14,0,0,N,112,607,,,,0
1,6,1/21/23 0:00,B6,B6,116,JFK,SYR,1316,1429,1444,15,0,0,N,73,209,0,0,3,0
1,6,1/21/23 0:00,B6,B6,2516,JFK,SYR,2155,2307,2249,-18,0,0,N,72,209,,,,0
1,6,1/21/23 0:00,B6,B6,656,MCO,SYR,1618,1859,1942,43,0,0,N,161,1053,0,0,0,0
1,6,1/21/23 0:00,DL,9E,5009,JFK,SYR,2230,2354,7,13,0,0,N,84,209,,,,0
1,6,1/21/23 0:00,DL,9E,5224,JFK,SYR,1635,1801,1829,28,0,0,N,86,209,0,0,23,0
1,6,1/21/23 0:00,DL,9E,5350,JFK,SYR,950,1115,1049,-26,0,0,N,85,209,,,,0
1,6,1/21/23 0:00,UA,UA,1998,ORD,SYR,1824,2117,2109,-8,0,0,N,113,607,,,,0
1,6,1/21/23 0:00,UA,G7,4471,ORD,SYR,1348,1637,1635,-2,0,0,N,109,607,,,,0
1,6,1/21/23 0:00,WN,WN,2695,MCO,SYR,1105,1345,1337,-8,0,0,N,160,1053,,,,0
1,6,1/28/23 0:00,AA,YX,4429,ORD,SYR,1504,1756,1805,9,0,0,N,112,607,,,,0
1,6,1/28/23 0:00,B6,B6,116,JFK,SYR,1316,1429,1426,-3,0,0,N,73,209,,,,0
1,6,1/28/23 0:00,B6,B6,2516,JFK,SYR,2155,2307,2318,11,0,0,N,72,209,,,,0
1,6,1/28/23 0:00,B6,B6,656,MCO,SYR,1618,1859,1840,-19,0,0,N,161,1053,,,,0
1,6,1/28/23 0:00,DL,9E,5009,JFK,SYR,2230,2354,2327,-27,0,0,N,84,209,,,,0
1,6,1/28/23 0:00,DL,9E,5224,JFK,SYR,1635,1801,1740,-21,0,0,N,86,209,,,,0
1,6,1/28/23 0:00,DL,9E,5350,JFK,SYR,950,1115,1056,-19,0,0,N,85,209,,,,0
1,6,1/28/23 0:00,UA,UA,1998,ORD,SYR,1824,2117,2107,-10,0,0,N,113,607,,,,0
1,6,1/28/23 0:00,UA,G7,4471,ORD,SYR,1348,1637,1649,12,0,0,N,109,607,,,,0
1,6,1/28/23 0:00,WN,WN,2695,MCO,SYR,1105,1345,1348,3,0,0,N,160,1053,,,,0
1,7,1/1/23 0:00,AA,MQ,3392,ORD,SYR,1825,2116,2108,-8,0,0,N,111,607,,,,0
1,7,1/1/23 0:00,AA,MQ,3518,ORD,SYR,1305,1602,1537,-25,0,0,N,117,607,,,,0
1,7,1/1/23 0:00,B6,B6,116,JFK,SYR,1335,1448,1511,23,0,0,N,73,209,0,0,13,0
